state_index,basis_state,penalized_energy,feasibility,decoded_route_id,decoded_route,true_route_cost,is_optimal_route
637,10111110010000,109.0,False,,,,False
638,01111110010000,147.0,False,,,,False
639,11111110010000,137.0,False,,,,False
640,00000001010000,53.0,False,,,,False
641,10000001010000,55.0,False,,,,False
642,01000001010000,45.0,False,,,,False
643,11000001010000,59.0,False,,,,False
644,00100001010000,48.0,False,,,,False
645,10100001010000,62.0,False,,,,False
646,01100001010000,52.0,False,,,,False
647,11100001010000,78.0,False,,,,False
648,00010001010000,54.0,False,,,,False
649,10010001010000,44.0,False,,,,False
650,01010001010000,58.0,False,,,,False
651,11010001010000,60.0,False,,,,False
652,00110001010000,49.0,False,,,,False
653,10110001010000,51.0,False,,,,False
654,01110001010000,65.0,False,,,,False
655,11110001010000,79.0,False,,,,False
656,00001001010000,57.0,False,,,,False
657,10001001010000,47.0,False,,,,False
658,01001001010000,49.0,False,,,,False
659,11001001010000,51.0,False,,,,False
660,00101001010000,64.0,False,,,,False
661,10101001010000,66.0,False,,,,False
662,01101001010000,68.0,False,,,,False
663,11101001010000,82.0,False,,,,False
664,00011001010000,70.0,False,,,,False
665,10011001010000,48.0,False,,,,False
666,01011001010000,74.0,False,,,,False
667,11011001010000,64.0,False,,,,False
668,00111001010000,77.0,False,,,,False
669,10111001010000,67.0,False,,,,False
670,01111001010000,93.0,False,,,,False
671,11111001010000,95.0,False,,,,False
672,00000101010000,96.0,False,,,,False
673,10000101010000,86.0,False,,,,False
674,01000101010000,88.0,False,,,,False
675,11000101010000,90.0,False,,,,False
676,00100101010000,91.0,False,,,,False
677,10100101010000,93.0,False,,,,False
678,01100101010000,95.0,False,,,,False
679,11100101010000,109.0,False,,,,False
680,00010101010000,109.0,False,,,,False
681,10010101010000,87.0,False,,,,False
682,01010101010000,113.0,False,,,,False
683,11010101010000,103.0,False,,,,False
684,00110101010000,104.0,False,,,,False
685,10110101010000,94.0,False,,,,False
686,01110101010000,120.0,False,,,,False
687,11110101010000,122.0,False,,,,False
688,00001101010000,112.0,False,,,,False
689,10001101010000,90.0,False,,,,False
690,01001101010000,104.0,False,,,,False
691,11001101010000,94.0,False,,,,False
692,00101101010000,119.0,False,,,,False
693,10101101010000,109.0,False,,,,False
694,01101101010000,123.0,False,,,,False
695,11101101010000,125.0,False,,,,False
696,00011101010000,137.0,False,,,,False
697,10011101010000,103.0,False,,,,False
698,01011101010000,141.0,False,,,,False
699,11011101010000,119.0,False,,,,False
700,00111101010000,144.0,False,,,,False
701,10111101010000,122.0,False,,,,False
702,01111101010000,160.0,False,,,,False
703,11111101010000,150.0,False,,,,False
704,00000011010000,67.0,False,,,,False
705,10000011010000,69.0,False,,,,False
706,01000011010000,47.0,False,,,,False
707,11000011010000,61.0,False,,,,False
708,00100011010000,74.0,False,,,,False
709,10100011010000,88.0,False,,,,False
710,01100011010000,66.0,False,,,,False
711,11100011010000,92.0,False,,,,False
712,00010011010000,56.0,False,,,,False
713,10010011010000,46.0,False,,,,False
714,01010011010000,48.0,False,,,,False
715,11010011010000,50.0,False,,,,False
716,00110011010000,63.0,False,,,,False
717,10110011010000,65.0,False,,,,False
718,01110011010000,67.0,False,,,,False
719,11110011010000,81.0,False,,,,False
720,00001011010000,83.0,False,,,,False
