p,penalty_x_p_opt,penalty_x_p_feas,penalty_x_p_opt_given_feasible,penalty_x_expected_penalized_cost,penalty_x_nfev,penalty_x_status,global_grover_p_opt,global_grover_p_feas,global_grover_p_opt_given_feasible,global_grover_expected_penalized_cost,global_grover_nfev,global_grover_status
35,6.423635531677916e-05,0.06561931186886309,0.0009789245496074738,28.496087023552207,204,BUDGET_LIMITED,0.00021912055780724205,0.004186194259753965,0.05234361909906217,61.42926054592501,204,BUDGET_LIMITED
36,8.01063392149446e-05,0.07102119527458496,0.001127921586017164,28.045216243812163,208,BUDGET_LIMITED,0.0002206258052584712,0.0041765061724367185,0.05282544695241057,61.424230060523946,208,BUDGET_LIMITED
37,6.863495052440831e-05,0.07387561782305088,0.0009290609344047019,27.8699201141038,212,BUDGET_LIMITED,0.00021956064197171552,0.004150329057822169,0.05290198413494642,61.415842438952,212,BUDGET_LIMITED
38,4.978513568749853e-05,0.07220671095624448,0.0006894807287049415,27.949785643622015,216,BUDGET_LIMITED,0.00022041058193839915,0.0041155332401117024,0.05355577736323103,61.41211148154001,216,BUDGET_LIMITED
39,7.57652806842576e-05,0.06199639490090212,0.001222091716871026,27.65565429984766,220,BUDGET_LIMITED,0.00022004372789808228,0.004104795765907101,0.053606498458628124,61.39396295029323,220,BUDGET_LIMITED
40,0.0001007980850302729,0.06927388093507042,0.00145506623376204,27.605263007026558,224,BUDGET_LIMITED,0.0002591280135313276,0.004882725298965293,0.053070364942758484,54.678102455226195,224,BUDGET_LIMITED
41,7.10520084357585e-05,0.07257100188181327,0.0009790688648817533,27.55192144741305,228,BUDGET_LIMITED,0.00037380940128601,0.006966747997975251,0.05365622545765261,49.759518718108815,228,BUDGET_LIMITED
42,6.483244257145526e-05,0.08745852918019562,0.0007412935385395908,26.89510341960333,232,BUDGET_LIMITED,0.00042348561409965397,0.00783659949293458,0.054039461182297945,47.538469958932566,232,BUDGET_LIMITED
43,7.985391050533298e-05,0.07813315749977776,0.0010220233388822167,26.818134046189165,236,BUDGET_LIMITED,0.0005039220808348196,0.009452851735246959,0.053309000812510304,46.31874108737662,236,BUDGET_LIMITED
44,7.201340425149854e-05,0.0721117844860781,0.000998635725973491,26.864040341233896,240,BUDGET_LIMITED,0.0005374458974242641,0.010151433677804743,0.05294285659367942,45.55756633533813,240,BUDGET_LIMITED
