A,p,selected_start_id,shots,replicate_id,p_feas_hat,p_opt_hat,invalid_mass_hat,feasible_observation_count,exact_optimum_observation_count,most_frequent_state_index,most_frequent_canonical_bitstring,most_frequent_qiskit_display_bitstring,most_frequent_observation_count
2,2,2,1024,15,0.0556640625,0.001953125,0.9443359375,57,2,0,00000000000000,00000000000000,20
2,2,2,1024,16,0.05078125,0.001953125,0.94921875,52,2,8192,00000000000001,10000000000000,12
2,2,2,1024,17,0.048828125,0.00390625,0.951171875,50,4,0,00000000000000,00000000000000,12
2,2,2,1024,18,0.0517578125,0.0009765625,0.9482421875,53,1,8193,10000000000001,10000000000001,11
2,2,2,1024,19,0.0439453125,0.00390625,0.9560546875,45,4,8192,00000000000001,10000000000000,12
2,2,2,1024,20,0.0478515625,0.0029296875,0.9521484375,49,3,8193,10000000000001,10000000000001,10
2,2,2,1024,21,0.0478515625,0.00390625,0.9521484375,49,4,8192,00000000000001,10000000000000,11
2,2,2,1024,22,0.0634765625,0.0029296875,0.9365234375,65,3,8192,00000000000001,10000000000000,11
2,2,2,1024,23,0.056640625,0.00390625,0.943359375,58,4,8192,00000000000001,10000000000000,10
2,2,2,1024,24,0.0478515625,0.001953125,0.9521484375,49,2,8193,10000000000001,10000000000001,11
2,2,2,1024,25,0.052734375,0.00390625,0.947265625,54,4,8192,00000000000001,10000000000000,11
2,2,2,1024,26,0.052734375,0.0009765625,0.947265625,54,1,8192,00000000000001,10000000000000,13
2,2,2,1024,27,0.068359375,0.0048828125,0.931640625,70,5,8193,10000000000001,10000000000001,13
2,2,2,1024,28,0.044921875,0.0009765625,0.955078125,46,1,0,00000000000000,00000000000000,11
2,2,2,1024,29,0.046875,0.00390625,0.953125,48,4,4097,10000000000010,01000000000001,10
2,2,2,1024,30,0.04296875,0.0029296875,0.95703125,44,3,8201,10010000000001,10000000001001,13
2,2,2,1024,31,0.0546875,0.001953125,0.9453125,56,2,8193,10000000000001,10000000000001,13
2,2,2,1024,32,0.0546875,0.0029296875,0.9453125,56,3,8192,00000000000001,10000000000000,13
2,2,2,1024,33,0.0390625,0.0,0.9609375,40,0,8192,00000000000001,10000000000000,17
2,2,2,1024,34,0.0517578125,0.001953125,0.9482421875,53,2,8201,10010000000001,10000000001001,16
2,2,2,1024,35,0.052734375,0.00390625,0.947265625,54,4,1,10000000000000,00000000000001,11
2,2,2,1024,36,0.0498046875,0.0009765625,0.9501953125,51,1,8192,00000000000001,10000000000000,13
2,2,2,1024,37,0.04296875,0.001953125,0.95703125,44,2,8192,00000000000001,10000000000000,13
2,2,2,1024,38,0.052734375,0.001953125,0.947265625,54,2,0,00000000000000,00000000000000,16
2,2,2,1024,39,0.0576171875,0.0029296875,0.9423828125,59,3,1,10000000000000,00000000000001,16
2,2,2,1024,40,0.044921875,0.0029296875,0.955078125,46,3,8192,00000000000001,10000000000000,15
2,2,2,1024,41,0.0478515625,0.0048828125,0.9521484375,49,5,8192,00000000000001,10000000000000,13
2,2,2,1024,42,0.0478515625,0.0068359375,0.9521484375,49,7,8201,10010000000001,10000000001001,9
2,2,2,1024,43,0.0517578125,0.0009765625,0.9482421875,53,1,8201,10010000000001,10000000001001,13
2,2,2,1024,44,0.0615234375,0.001953125,0.9384765625,63,2,8704,00000000010001,10001000000000,13
2,2,2,1024,45,0.060546875,0.001953125,0.939453125,62,2,8193,10000000000001,10000000000001,11
2,2,2,1024,46,0.041015625,0.001953125,0.958984375,42,2,8193,10000000000001,10000000000001,14
2,2,2,1024,47,0.05078125,0.00390625,0.94921875,52,4,8193,10000000000001,10000000000001,12
2,2,2,1024,48,0.05859375,0.00390625,0.94140625,60,4,0,00000000000000,00000000000000,11
2,2,2,1024,49,0.0537109375,0.00390625,0.9462890625,55,4,8192,00000000000001,10000000000000,11
2,2,2,1024,50,0.041015625,0.00390625,0.958984375,42,4,0,00000000000000,00000000000000,14
2,2,2,1024,51,0.05859375,0.0078125,0.94140625,60,8,8192,00000000000001,10000000000000,16
2,2,2,1024,52,0.05859375,0.0009765625,0.94140625,60,1,0,00000000000000,00000000000000,14
2,2,2,1024,53,0.05078125,0.0009765625,0.94921875,52,1,0,00000000000000,00000000000000,13
2,2,2,1024,54,0.0478515625,0.0009765625,0.9521484375,49,1,8193,10000000000001,10000000000001,16
2,2,2,1024,55,0.0400390625,0.0009765625,0.9599609375,41,1,8192,00000000000001,10000000000000,10
2,2,2,1024,56,0.0546875,0.00390625,0.9453125,56,4,8192,00000000000001,10000000000000,13
2,2,2,1024,57,0.052734375,0.001953125,0.947265625,54,2,8192,00000000000001,10000000000000,11
2,2,2,1024,58,0.048828125,0.0048828125,0.951171875,50,5,10240,00000000000101,10100000000000,9
2,2,2,1024,59,0.0537109375,0.0009765625,0.9462890625,55,1,8192,00000000000001,10000000000000,16
2,2,2,1024,60,0.048828125,0.0029296875,0.951171875,50,3,8193,10000000000001,10000000000001,12
2,2,2,1024,61,0.044921875,0.001953125,0.955078125,46,2,2,01000000000000,00000000000010,8
2,2,2,1024,62,0.0556640625,0.0029296875,0.9443359375,57,3,8193,10000000000001,10000000000001,10
2,2,2,1024,63,0.05078125,0.0048828125,0.94921875,52,5,8192,00000000000001,10000000000000,10
2,2,2,1024,64,0.0556640625,0.0009765625,0.9443359375,57,1,1,10000000000000,00000000000001,10
2,2,2,1024,65,0.05078125,0.0029296875,0.94921875,52,3,8192,00000000000001,10000000000000,15
2,2,2,1024,66,0.0537109375,0.0009765625,0.9462890625,55,1,0,00000000000000,00000000000000,12
2,2,2,1024,67,0.04296875,0.0029296875,0.95703125,44,3,0,00000000000000,00000000000000,15
2,2,2,1024,68,0.056640625,0.00390625,0.943359375,58,4,1,10000000000000,00000000000001,11
2,2,2,1024,69,0.0390625,0.001953125,0.9609375,40,2,8192,00000000000001,10000000000000,14
2,2,2,1024,70,0.0703125,0.0009765625,0.9296875,72,1,0,00000000000000,00000000000000,12
2,2,2,1024,71,0.0478515625,0.0009765625,0.9521484375,49,1,8192,00000000000001,10000000000000,12
2,2,2,1024,72,0.0556640625,0.0048828125,0.9443359375,57,5,8192,00000000000001,10000000000000,14
2,2,2,1024,73,0.0546875,0.0009765625,0.9453125,56,1,8192,00000000000001,10000000000000,13
2,2,2,1024,74,0.05859375,0.0029296875,0.94140625,60,3,8192,00000000000001,10000000000000,11
